Слово,Текст,Оценка
снег,"— Как вы относитесь к снегу Напишите предложение со словом ""снег""",1
растение,"С помощью этого словосочетания вы узнаете, что в этом году растет дерево по всему миру, или какой Напишите предложение со словом ""растение""",1
добро,Это глагол в придаточном предложении,0
ужасный,"Да кошмар какой-то, да не хочется на работу идти, просто страшно",0
придумать,"К чему бы это? Напишите предложение со словом ""придумать""",1
жадно,"Дайте понять, что оно для вас не только как предмет разговора, но и как средство для выражения ваших Напишите предложение со словом ""жадно""",1
округ,"Какую еду можно приготовить из цветной капусты? Напишите предложение со словом ""округ""",1
кстати,"Как сделать предложение со словом ""кстати""? Напишите предложение со словом ""кстати""",1
улитка,"Напишите текст предложения со словом ""улитка""",1
похоже,"Пример: ""В субботу, когда мы шли с ней по аллее, под лу Напишите предложение со словом ""похоже""",1
усы,1) Выбрать из всех шести слов одно и написать его правильно,0
выключатель,"Это что? Напишите предложение со словом ""выключатель""",1
напоминать,"Чтобы ответить, введите его в строке браузера: Напишите предложение со словом ""напоминать""",1
шум,"...Шум это и то, чего мы не понимаем",1
январь,"Оно, как правило, является кратким вариантом",0
бегать,"Бегать - бегать Напишите предложение со словом ""бегать""",1
честно,"Я не могу, чтобы я работала честно и честно, мне это не нравится",1
класть,"Слово ""кладбище"" является синонимом слова ""земля"".Возникает ситуация, когда клад Напишите предложение со словом ""класть""",1
знак,"Например, вы решили, что вы — ""Знак препинания""",1
зубной,"Ссылка на форму поиска Напишите предложение со словом ""зубной""",1
копейка,"копейка Напишите предложение со словом ""копейка""",1
закрыто,"Наберите в это слово буквы ""к"" через ""а"" или ""к""",0
царство,"Помогите, кто разбирается",0
красный,"Если не можете подобрать вариант, напишите предложение со словом ""желтый"", если не можете выбрать вариант с "" Напишите предложение со словом ""красный""",1
взрослый,— У меня есть парень младше меня еще на 5 лет,0
яма,"Пример предложения со словом ""яма"" Напишите предложение со словом ""яма""",1
падать,Пыльная земля в городе,0
послезавтра,"Каким можно назвать человека который очень сильно любит свою жену? Напишите предложение со словом ""послезавтра""",1
гнездо,"гнездо Напишите предложение со словом ""гнездо""",1
календарь,Как составить с помощью него расписание движения транспорта на работу в этот период,0
проход,Приведите следующие примеры,0
плечо,"Заранее спасибо! Напишите предложение со словом ""плечо""",1
синий,"В предложении можно написать не только название города или района, но и телефон или email",0
шишка,Найдите его значение в следующем предложении,0
медленно,"Какие существуют способы получения такого предложения?  Как лучше всего с его помощью написать? Напишите предложение со словом ""медленно""",1
Азия,"Если вам по душе Австралия, то и нам посчастливилось побывать в этой стране."" Напишите предложение со словом ""Азия""",1
лягушка,"Как его можно понять?? Напишите предложение со словом ""лягушка""",1
фантастика,"Как сделать картинку, чтобы она понравилась? Напишите предложение со словом ""фантастика""",1
пропавший,Вероятней всего - исчез,0
уметь,Это очень важно,0
книжный,"Я не уверен, что смогу его правильно выполнить",0
халат,"Составьте предложения со словом ""халат""",1
холод,"Вступительный текст: ""Допускаю, что ""холодильник"" не имел своей внутренней отдел Напишите предложение со словом ""холод""",1
сын,"А почему бы и нет? Напишите предложение со словом ""сын""",1
далекий,"ищу-счастливый Напишите предложение со словом ""далекий""",1
экран,"Как сделать? Напишите предложение со словом ""экран""",1
пушистый,"Почему у меня не получаются отношения, любовь? Напишите предложение со словом ""пушистый""",1
завтракать,Это не вызовет у меня затруднений,0
эскалатор,"Что вы хотите получить в результате? Напишите предложение со словом ""эскалатор""",1
участок,"1) Напишите на листке бумаги слово ""учебный""; 2) Напишите его слово Напишите предложение со словом ""участок""",1
забавно,Четверо,0
республика,Республика - это страна,1
музыкальный,"[id30206290|Лариса], Вы, наверное, в школе все Напишите предложение со словом ""музыкальный""",1
учительница,"Я могу быть вашим учителем) Напишите предложение со словом ""учительница""",1
известие,Заработок на бирже или интернет магазине,0
нужный,"А какое самое большое слово в Вашей фамилии? Напишите предложение со словом ""нужный""",1
негромко,"Напишите предложение со словом ""громко""",0
громко,"Напишите предложение со словом ""громко"".",1
мужчина,"Если ответ уже дан и вы получили ответ, то впишите его в поле ""Внимание!"" ( Напишите предложение со словом ""мужчина""",1
пол,"Вы пишите: ""Барабанила, на ходу и напевала"" и ""Успока Напишите предложение со словом ""пол""",1
футбол,"Кайтбол - это вид спорта, когда футболисты забивают мяч, в котором они в основном Напишите предложение со словом ""футбол""",1
земляника,"Когда говорят ""земляника"", то говорят земляничком",1
цвести,"Гость, не имеющий представления о том, где и почём он живётся, всегда говорит Напишите предложение со словом ""цвести""",1
сосиска,"Сосиска - это символ сочного мяса, символ счастья и благополучия",1
родитель,Вселенная в целом,0
иначе,"Поженимся Напишите предложение со словом ""иначе""",1
Китай,"Если это что-нибудь значит или относится к географии, просто укажите место, в котором вы живете",0
общежитие,"""Две ночи я искал тебя в доме, где родился""",0
вбок,"В данном предложении перед точкой ставится ""от"", после - ""ш""",0
равно,"Например: ""Мы не будем говорить о политике и говорить о науке...""",0
мужчина,Идите на свидание с мужчиной и вы скажете ему это,0
любопытно,"я знаю, люблю, люблю..",0
наслаждаться,"""Влюблялся""",0
пропавший,"Дык, пропавший и потерянный...",1
делать,"Укажите слово, характеризующее это предложение",0
мирно,Я тут живу,0
ученый,Пожалуйста.Ученикам 5 и 10 классов!А может и не только 2-3,0
почти,Мы будем благодарны за Ваши замечания в работе сайта,0
трудно,"переходите на другое приложение, потом на другой проект, если будет так тяжело переходить на другое приложение и Напишите предложение со словом ""трудно""",1
королева,"В этой фразе есть и оборотные, и причастия, и дополнение, и окончание, и Напишите предложение со словом ""королева""",1
дизайнер,"Например: ""Обои, которые создают в компьютерных играх, отличаются от обычного рабочего стола тем Напишите предложение со словом ""дизайнер""",1
язык,"Оно начинается со слова ""язык""",1
вчера,"Это стихотворение не о любви, не о любви",0
документ,"""Документ"" - документ, который содержит информацию о данном документе, что-то вроде Напишите предложение со словом ""документ""",1
пластина,"Пластино-бетонная стена - это стена, по которой в результате взрыва и горения Напишите предложение со словом ""пластина""",1
сентябрь,"Затем выделите слова с теми же данными союзами, если хотите правильно составить предложение",0
грустный,"грустным Напишите предложение со словом ""грустный""",1
одеяло,Я никогда не выйду замуж,0
взять,"соглашайся с ним Напишите предложение со словом ""взять""",1
мороженое,Мороженое - мороженое у нас в городе только мороженое,1
сокровище,Сокровище,1
лед,"Как правильно подобрать слово? Напишите предложение со словом ""лед""",1
доллар,"Я хочу узнать, как можно поставить такую машину",0
туфли,"Вставьте слово ""туфли"",если оно есть, в текст предложений, а если и нет",1
водка,"При написании запроса в этом случае учитывайте все условия: Напишите предложение со словом ""водка""",1
глухо,И поставьте точку,0
кричать,"""Кричите мне""",0
страшно,"В школе есть такая классная тема, как страх быть не таким, как все",0
октябрь,"""Октябрь, Октябрь, Октябрь - все одно, все одно!!!..."" Напишите предложение со словом ""октябрь""",1
вбок,"Я надеюсь, что вы оцените мою работу профессионально",0
заклинание,"-- Что я должен узнать Напишите предложение со словом ""заклинание""",1
люди,Попробуй найти все слова,0
повторить,"Существительное ""повторять"" в русском языке относится к темам, где оно повторяется дважды Напишите предложение со словом ""повторить""",1
шагать,"Слово ""шагать"" в предложении может быть: &nbsp;&nbsp;&nbsp;&nbsp;& Напишите предложение со словом ""шагать""",1
жираф,"Укажите его смысл (название, страна, город)",0
коротко,Напишите 2 предложения,0
ожерелье,- Это моя любимая игра,0
шуметь,"Отнесите слова к существительным 1,2,3, 4 и 6 - к прилагательным Напишите предложение со словом ""шуметь""",1
ясный,"В предложении: ""Этот день был чудесен",0
конец,"напишите предложение со словом ""конец"" без приставки конец Напишите предложение со словом ""конец""",1
продавать,"5196660	miliputnik	2014-09- Напишите предложение со словом ""продавать""",1
майка,Что это значит?  А вот про это как раз статья,0
модель,"Модель: Модель, -",1
леопард,Миззи.,0
очень,"Что написать в предложении с предлогом очень много? Напишите предложение со словом ""очень""",1
влево,"Если это словосочетание можно заменить без ""м"", - то все верно",0
купить,"1)У вас есть возможность заказать мебель, как вам ее надо сделать? 2) Есть ли у вас Напишите предложение со словом ""купить""",1
кино,"Желательно не очень длинное и короткое, но можно попробовать",0
зарабатывать,"По сути, это одно действие, без второго можно писать с двумя",0
рыбалка,"Напишите слово ""охотничья""",0
плакать,Я уже не плакала,0
вместе,"2 и 3 Напишите предложение со словом ""вместе""",1
музыкальный,В форме 1.2,0
дико,Круто,0
ракета,""" Напишите предложение со словом ""ракета""",1
среда,Найдите значение этого слова,0
быть,"Будьте сами собой, не бойтесь мечтать и не бойтесь ни о чем",0
мотоцикл,"сделать вид что да Напишите предложение со словом ""мотоцикл""",1
лучший,"Вы хотите на ней жениться?  А также можно составить и оформить предложение ""Лучшые цветы""",0
юг,Или пишите его с буквой Г,0
клубника,- Клубника с вишней - Это очень вкусная клубника,1
щека,"Сравните условия между словами ""Щека"" и ""капкана""",1
пойти,"&nbsp; Напишите предложение со словом ""пойти""",1
вглубь,"В пределах которого обозначены основные действия, в том числе и несовпадающий вид действия",0
экономика,"Экономическими показателями в экономике является количество реализованных, а значит, работающих на рынке товаров, а Напишите предложение со словом ""экономика""",1
аккуратный,"Попробуйте его развести перед тем как написать со словом ""аккурат""",0
енот,"Квартира, дом, машина Напишите предложение со словом ""енот""",1
длина,"Длина - длина, длина, длина - короче, короче, короче",1
снег,"Существительное снегопад является прилагательным мужского рода, отвечает на вопрос Что делать?, уменьшительное Напишите предложение со словом ""снег""",1
слышать,"согласен с Вами я тоже люблю слушать, слышать и делать, но я стараюсь не слушать в Напишите предложение со словом ""слышать""",1
вежливо,"Живите дружно!) Напишите предложение со словом ""вежливо""",1
наполовину,"Что делать если компы стоят на гарантии в 10 месяцев Напишите предложение со словом ""наполовину""",1
мокрый,"Грязь Напишите предложение со словом ""мокрый""",1
клуб,"Спасибо вам за сообщение, мы уже завтра с вами свяжемся Напишите предложение со словом ""клуб""",1
заодно,""" Напишите предложение со словом ""заодно""",1
европейский,"Например, ""Европы никогда не было, но она есть""; ""Ежик в сапогах Напишите предложение со словом ""европейский""",1
босиком,Босиком ходить хорошо,1
жук,"Жука или насекомых))) Напишите предложение со словом ""жук""",1
спорт,"Жесткий или мягкий на Ваш вкус Напишите предложение со словом ""спорт""",1
мяч,"Ответ: ""Мяч"" (тематическая рамка)",1
конкурс,"2) на сайте Напишите предложение со словом ""конкурс""",1
свинья,"вчера, на ужин - мясо и рыба",0
надолго,Напишите его правильно,0
тренажеры,"тренажёр Напишите предложение со словом ""тренажеры""",1
бородатый,"И предложите вставить пропущенные словосочетания! Напишите предложение со словом ""бородатый""",1
близко,"И если ""ближе"" (что обычно происходит) то по смыслу (обратите внимание на Напишите предложение со словом ""близко""",1
табурет,Пожалуйста..,0
комбинезон,Как в фильме,0
врач,Напишите про врача,1
юный,"Юна родилась в начале века в Вене, в аристократической семье",0
встреча,"Ваш ответ на один из двух предложенных кроссвордов: Напишите предложение со словом ""встреча""",1
быть,А я бы с радостью тебя поцеловал - а то вдруг ты меня вообще не поцелуешь,0
белый,"Как оно называется в русском языке? Напишите предложение со словом ""белый""",1
шампунь,"И вот что я узнала в результате: ""Шампунь с экстрактом шалфея Напишите предложение со словом ""шампунь""",1
камера,"Камера, кино",1
присматривать,"""А вдруг в дороге появится еще что-то..."", - отвечает Ольга Сергеевна",0
милиционер,"-- А это кто такая такая Такая страшная, но справедливая -- спросил я",0
марка,"Шоссе, улица",0
домой,"да Напишите предложение со словом ""домой""",1
трава,"Каков ваш вариант? Напишите предложение со словом ""трава""",1
сумочка,"сочинение напишите плиз пожалуйста!! Напишите предложение со словом ""сумочка""",1
рассказать,"рассказывает как бы сама с собой? Напишите предложение со словом ""рассказать""",1
ожерелье,"незнаю, просто мне понравился ваш вопрос...",0
странно,"Пример предложения: ""К нам в отель приехали гости из Европы",0
белорусский,"С чего начать разговор: с того, что вас настораживает, и с того, что Напишите предложение со словом ""белорусский""",1
новый,"Если вы видите предложения со словом ""новые"" (""Новый"", ""Новый-2, ""Новый"" и Напишите предложение со словом ""новый""",1
нравиться,- Что за девушка -- спросила Даша,0
чемодан,1,0
Хорватия,"Что это может означать ""хоромватия"", и какие ассоциации должны Придумайте предложение, в котором будет слово ""Хорватия""",1
настроить,"28153729	slovar2000	2013-06 Придумайте предложение, в котором будет слово ""настроить""",1
сцена,Напишите свой вариант,0
далекий,"Как пример, так: ""Мне приснилась подруга (тревога, тревога Придумайте предложение, в котором будет слово ""далекий""",1
лампа,Я в детстве обожал лампочки и лампочки,0
дождь,Я люблю дождь,1
больно,"У нас больная женщина, так часто болит",0
апрель,"16989452	laloeken	2007-02 Придумайте предложение, в котором будет слово ""апрель""",1
усы,"Да нафиг ей это название, вообще никто эту фразу не знает :))) Это же Придумайте предложение, в котором будет слово ""усы""",1
грузовик,"""Трудолюбивый"", ""бездорожный""...",0
ЮАР,На этой странице Вы можете заказать автомобильный тур к примеру по Южной Африке,0
заниматься,"Пример предложений: Придумайте предложение, в котором будет слово ""заниматься""",1
километр,То есть количество километров в час,1
масло,"Масло – это продукт переработки нефти, который является органическим и не может быть Придумайте предложение, в котором будет слово ""масло""",1
слово,"- Какой слово ""слово""?! - не поняла я",1
клетка,"Включите фантазию и вспомните, что в детстве вы делали в клетке Придумайте предложение, в котором будет слово ""клетка""",1
запомнить,- Это не вопрос..,0
орех,"А чтобы его запомнить, достаточно в нем прослушать текст целиком",0
суббота,"Придумайте предложение о том, как его составить",0
знать,"Мы понимаем, что есть люди, которым интересно знать больше, чем другие, но Придумайте предложение, в котором будет слово ""знать""",1
англичанин,"Я хочу чтобы этот персонаж написал ""Англичанин""",1
округ,"Напишите все слова в форме, близкой к форме вопроса и ответа: ""Озор Придумайте предложение, в котором будет слово ""округ""",1
утка,"Только одно из этих предложений - это слово ""утка""",1
вдова,"Полагаю, что в данном случае слово ""вдова"" как никогда верно! Придумайте предложение, в котором будет слово ""вдова""",1
этаж,"Деревянный дом: Придумайте предложение, в котором будет слово ""этаж""",1
поздравлять,Отмечаем в календаре праздники,0
перевод,А вы его написали и разместили - вот вам и перевод,1
тяжело,"тяжело - это одно Придумайте предложение, в котором будет слово ""тяжело""",1
фермер,"&nbsp;И мы вместе с вами! Я, Придумайте предложение, в котором будет слово ""фермер""",1
горячо,"Не говорите про газ!  Не говорите про нефть!  Не пишите про электричество Придумайте предложение, в котором будет слово ""горячо""",1
пример,"Например, ""Потрясающе""!  Вот бы знать, как его применять..",1
полка,"Придумайте предложение, в котором будет слово ""пушистость""",0
переходить,"""Переходная форма""",0
улица,"16477928	yolka	2006- Придумайте предложение, в котором будет слово ""улица""",1
кетчуп,Смайлы — это отличный способ оформления фотографий,0
входить,"В слове ""входить"": в словах ""выходить"" и ""выход Придумайте предложение, в котором будет слово ""входить""",1
морковь,"Если не секрет, где можно ""морковьки-то"" положить.",1
станция,"11799545	dmitrythewonder Придумайте предложение, в котором будет слово ""станция""",1
дружно,"Если Вы хотите найти более качественное решение, то просто представте себе картинку из нескольких Придумайте предложение, в котором будет слово ""дружно""",1
медсестра,"- Скажите мне, какой у вас диагноз Придумайте предложение, в котором будет слово ""медсестра""",1
бояться,"В одном из приведенных примеров имеется в виду следующее: Придумайте предложение, в котором будет слово ""бояться""",1
музыка,"А теперь смотрите, что получится",0
неопрятный,"К чему снятся грибы? Придумайте предложение, в котором будет слово ""неопрятный""",1
кусок,"Я, по ходу, это слово уже слышала раньше."" Так что, может, оно Придумайте предложение, в котором будет слово ""кусок""",1
динозавр,"Для этого нужно заменить ""динозавр -- это динозавр""",1
бодро,"Я же не буду читать Вам в подарок эту книгу! Нет! Да-да! Придумайте предложение, в котором будет слово ""бодро""",1
возбужденный,"Если бы вы хотели выяснить у людей подробности инцидента в ""Лексусе Придумайте предложение, в котором будет слово ""возбужденный""",1
торт,4,0
спрятать,"Ну, это ты, дорогой человек не прячешься в ящике, а Придумайте предложение, в котором будет слово ""спрятать""",1
комбинезон,"У нас на производстве, в отделе ""Кожевника"", на производстве Придумайте предложение, в котором будет слово ""комбинезон""",1
олимпиада,"В соответствии со статусом, олимпийская медаль должна вручаться по окончании Придумайте предложение, в котором будет слово ""олимпиада""",1
отец,"Это слово, которое я придумала, будет мне не совсем приятным",0
спереди,"- Вставить -- спросила я, -- Что это за предложение Придумайте предложение, в котором будет слово ""спереди""",1
выше,Давайте говорить о наших планах,0
рядом,1,0
одеваться,Из этого списка выбираете нужное вам сочетание одежды,0
глаз,"Именно поэтому я предложил использовать слово ""брат"", поэтому он так и не произнес ни Придумайте предложение, в котором будет слово ""глаз""",1
отверстие,"В нем будут звучать согласные, которые и дадут вам возможность установить правильный Придумайте предложение, в котором будет слово ""отверстие""",1
удивленный,"Вы просто не в состоянии этого сделать, вот и все",0
одеяло,"Когда мы встречаемся в коридоре, я одеваюсь, когда уезжаю, кла Придумайте предложение, в котором будет слово ""одеяло""",1
кабан,"То есть, слово ""кабан"" - это то же слово, просто не Придумайте предложение, в котором будет слово ""кабан""",1
ошибка,"Его можно было написать в двух вариантах: ""Ошибка – это ошибка Придумайте предложение, в котором будет слово ""ошибка""",1
Болгария,— Болгария,1
мартышка,Вы можете задать свой вопрос на сайте,0
металл,"Прикиньте и скажите, может кто поймет",0
Хорватия,"По словам нашего корреспондента Александра Арутюняна, чтобы это Придумайте предложение, в котором будет слово ""Хорватия""",1
пироженое,"Можно, действительно, написать два слова - пироженку и пирожничок, Придумайте предложение, в котором будет слово ""пироженое""",1
столько,"Относитесь к своему слову, как к ""сколько хотите"" или ""сколько Придумайте предложение, в котором будет слово ""столько""",1
прекрасный,"- И что в нем особенного -- это когда с точки зрения внешности, а ведь Придумайте предложение, в котором будет слово ""прекрасный""",1
держать,1,0
надвое,И тогда ваше предложение станет более понятным для нас,0
направо,"Может быть, оно и вам понравится",0
соль,"Нажмите ""оставить вопрос"" — слово соль будет присутствовать в первом предложении Придумайте предложение, в котором будет слово ""соль""",1
группа,5,0
смешной,"Не обязательно смеяться, можно просто рассмеяться",0
мужчина,"Но это не вариант!  В моем случае - ""мужчина""",1
крыло,"Крылов Придумайте предложение, в котором будет слово ""крыло""",1
диван,Если нет желания экспериментировать - делайте с этой задачей самостоятельно,0
зима,"А можно придумать пару вариантов ""Днем снега"" :) Придумайте предложение, в котором будет слово ""зима""",1
курица,"Это и есть ""курица"", ""петух"" Придумайте предложение, в котором будет слово ""курица""",1
деревня,"Если это ""деревенская крепость""..",0
шея,"я пока обалдела Придумайте предложение, в котором будет слово ""шея""",1
пнуть,"Он будет звучать так ""пнуть, пнуть""",1
абрикос,"Выпивший алкогольный напиток с добавлением груши или шоколада может вызвать у Придумайте предложение, в котором будет слово ""абрикос""",1
вместе,"И тогда ""вместе"" не будет ничего лишнего",1
лосины,"В этом предложении не должно быть никаких букв, кроме ""лосины"", которое Придумайте предложение, в котором будет слово ""лосины""",1
приключение,"Придумайте, что это может быть описание или рассказ из серии ""Прода Придумайте предложение, в котором будет слово ""приключение""",1
слезать,"Что значит это словосочетание? Придумайте предложение, в котором будет слово ""слезать""",1
противно,"Оно относится к той части, которая в тексте будет выглядеть как ""противно"", Придумайте предложение, в котором будет слово ""противно""",1
мед,"Мы все должны согласиться: мы будем жить в Медвежьей Деревне! Придумайте предложение, в котором будет слово ""мед""",1
телефон,"Если вы уже что-либо знаете об этом, можете просто написать его адрес электронной Придумайте предложение, в котором будет слово ""телефон""",1
носорог,"Придумайте предложение, в котором будет слово ""носорог"".",1
солнечный,"Слово ""звездный"" - в русской транскрипции - звезда ""свет Придумайте предложение, в котором будет слово ""солнечный""",1
музыкант,"Оно будет в двух словах: ""Простите за тильда""",0
зеркало,"Зеркало - это зеркало, отражающее отражение человека, отражая его внутренний Придумайте предложение, в котором будет слово ""зеркало""",1
ребёнок,"— В предложении ребёнка будет слово ""ребёнок"" Придумайте предложение, в котором будет слово ""ребёнок""",1
час,"- Что это - как что? - час ""времени""",1
выходной,"Анатолий Зленко: ""В выходные мы с женой ходили в Придумайте предложение, в котором будет слово ""выходной""",1
дешево,"Я не знаю, как это выразить",0
грубо,И по вашему плану,0
голова,"Существительный ""голова"" мужского рода",1
туалет,"А также выберите самое популярное и удачное по размеру для туалетных принадлежно Придумайте предложение, в котором будет слово ""туалет""",1
открывать,"Если есть предложение ""открывать"", то открывайте!  Если хотите, чтобы Придумайте предложение, в котором будет слово ""открывать""",1
двигаться,"И тогда будете очень удивлены, насколько долго двигаются поезда..",0
весна,"Мы как всегда будем на высоте! Придумайте предложение, в котором будет слово ""весна""",1
широко,"И еще есть пара предложений, в которых будет слово ""небрежно""",0
одеяло,"Если оно будет на английском - просто предложите то, чего вы не делали при разговоре Придумайте предложение, в котором будет слово ""одеяло""",1
ужас,-- сказала Аэлита,0
после,""" — сказал он",0
болтать,"А то на каждом сайте в основном ""болтают"", а в инете Придумайте предложение, в котором будет слово ""болтать""",1
тур,"Слово ""тур"" можно заменить на ""турбаза"" (обширная рав Придумайте предложение, в котором будет слово ""тур""",1
кончаться,"""Древний век"" Придумайте предложение, в котором будет слово ""кончаться""",1
крот,"Что вам понравится? Придумайте предложение, в котором будет слово ""крот""",1
впустую,"Он и не думал, что это произойдет",0
пустыня,"-Это какая? Придумайте предложение, в котором будет слово ""пустыня""",1
дыня,"27285293	freelance	2015-06 Придумайте предложение, в котором будет слово ""дыня""",1
поздно,"Здравствуйте!  Скажите, пожалуйста, если зачетная сумма была 100% за Придумайте предложение, в котором будет слово ""поздно""",1
обед,"А я, тем временем, начну..",0
Аргентина,"И потом, вы сами-должны ответить на вопрос, почему там Придумайте предложение, в котором будет слово ""Аргентина""",1
Китай,"""Китай-С"", как это ни банально звучит, не Китай",1
тест,"Может, и вам оно пригодится",0
теннис,"Например, ""Футбол",0
спать,"Нарисуйте схему, по которой будет построено ваше сновидение",0
полотенце,Набор цветов — 2 вида полотен,0
Бельгия,"Чтобы сделать предложенный вариант, нужно придумать, чтобы он был ""на вкус Придумайте предложение, в котором будет слово ""Бельгия""",1
масло,"Если в процессе изготовления продукта необходимо придать жидкий состав, для его получения потребуется: Придумайте предложение, в котором будет слово ""масло""",1
вчера,"В общем, нужно было ответить, но оно не сработало: Придумайте предложение, в котором будет слово ""вчера""",1
обед,"- Я могу приготовить салат ""Салат из шпината""",0
идти,"Не важно, что вы говорите: ""я иду гулять"", ""я буду гулять Придумайте предложение, в котором будет слово ""идти""",1
банк,"Например, ""Банк""",1
стена,"-- Ну, может, это, когда на стену кладёте",0
пора,"Например, что для женщины – это быть хорошей женой",0
растительный,"- Придумайте, какой это будет текст",0
фестиваль,"Не надо предлагать это в роли ""зрителей"", ""журналистов"", Придумайте предложение, в котором будет слово ""фестиваль""",1
легко,"Представьте, что Вы и Ваша секретарша будете работать на одной базе (с разными Придумайте предложение, в котором будет слово ""легко""",1
